rev_eta,rev_p,X,new_chi,phi
0.5,1.0,0.01,0.27257852872636334,0.03341475735432612
0.5,1.0,0.01,0.3806374813911895,0.03367463463174907
0.5,1.0,0.01,0.5024875621890548,0.03393747277084824
0.5,1.0,0.01,0.6243376429869201,0.03420306902950202
0.5,1.0,0.01,0.7323965956517463,0.034471189613787964
0.5,1.0,0.01,0.9528100764402322,0.035563825783383324
0.5,0.5,0.01,0.27257852872636334,0.03956258446953206
0.5,0.5,0.01,0.3806374813911895,0.040259519522825304
0.5,0.5,0.01,0.5024875621890548,0.04098283811366688
0.5,0.5,0.01,0.6243376429869201,0.04173197123792005
0.5,0.5,0.01,0.7323965956517463,0.042505873297038615
0.5,0.5,0.01,0.9528100764402322,0.04580844395617242
0.5,0.2,0.01,0.27257852872636334,0.05066944644233715
0.5,0.2,0.01,0.3806374813911895,0.05366575496547015
0.5,0.2,0.01,0.5024875621890548,0.05716932568637196
0.5,0.2,0.01,0.6243376429869201,0.06124624029497723
0.5,0.2,0.01,0.7323965956517463,0.06591993174507159
0.5,0.2,0.01,0.9528100764402322,0.08753980537747164
0.5,0.1,0.01,0.27257852872636334,0.05694732221727905
0.5,0.1,0.01,0.3806374813911895,0.06416260249222996
0.5,0.1,0.01,0.5024875621890548,0.07513486652773263
0.5,0.1,0.01,0.6243376429869201,0.09219412604016698
0.5,0.1,0.01,0.7323965956517463,0.11538483005094673
0.5,0.1,0.01,0.9528100764402322,0.18177552941584632
0.5,0.05,0.01,0.27257852872636334,0.058885063909405684
0.5,0.05,0.01,0.3806374813911895,0.07002933706042316
0.5,0.05,0.01,0.5024875621890548,0.09537713574920503
0.5,0.05,0.01,0.6243376429869201,0.16586774226624523
0.5,0.05,0.01,0.7323965956517463,0.2441469412683763
0.5,0.05,0.01,0.9528100764402322,0.37695382606179706
0.5,0.025,0.01,0.27257852872636334,0.0589486984264645
0.5,0.025,0.01,0.3806374813911895,0.07167835295302515
0.5,0.025,0.01,0.5024875621890548,0.11106932526925903
0.5,0.025,0.01,0.6243376429869201,0.2926512362257305
0.5,0.025,0.01,0.7323965956517463,0.4349874793369822
0.5,0.025,0.01,0.9528100764402322,0.7341459752978295
0.3333333333333333,1.0,0.01,0.27257852872636334,0.030405412126851047
0.3333333333333333,1.0,0.01,0.3806374813911895,0.030716534206128444
0.3333333333333333,1.0,0.01,0.5024875621890548,0.031033779536899935
0.3333333333333333,1.0,0.01,0.6243376429869201,0.03135696777688833
0.3333333333333333,1.0,0.01,0.7323965956517463,0.03168587527297179
0.3333333333333333,1.0,0.01,0.9528100764402322,0.03305244351779684
0.3333333333333333,0.5,0.01,0.27257852872636334,0.036084549613069915
0.3333333333333333,0.5,0.01,0.3806374813911895,0.03683986802159925
0.3333333333333333,0.5,0.01,0.5024875621890548,0.037631731062755164
0.3333333333333333,0.5,0.01,0.6243376429869201,0.038460208880333906
0.3333333333333333,0.5,0.01,0.7323965956517463,0.03932469948205126
0.3333333333333333,0.5,0.01,0.9528100764402322,0.043100713857184766
0.3333333333333333,0.2,0.01,0.27257852872636334,0.046439435187213864
0.3333333333333333,0.2,0.01,0.3806374813911895,0.049629469620694935
0.3333333333333333,0.2,0.01,0.5024875621890548,0.05343943799389671
0.3333333333333333,0.2,0.01,0.6243376429869201,0.05794180849116666
0.3333333333333333,0.2,0.01,0.7323965956517463,0.06312205751202324
0.3333333333333333,0.2,0.01,0.9528100764402322,0.08568987963356318
0.3333333333333333,0.1,0.01,0.27257852872636334,0.0513443391025275
0.3333333333333333,0.1,0.01,0.3806374813911895,0.058820990369837664
0.3333333333333333,0.1,0.01,0.5024875621890548,0.07105903148912598
0.3333333333333333,0.1,0.01,0.6243376429869201,0.09109954299630942
0.3333333333333333,0.1,0.01,0.7323965956517463,0.11601564331205996
0.3333333333333333,0.1,0.01,0.9528100764402322,0.17781564654044552
0.3333333333333333,0.05,0.01,0.27257852872636334,0.052140062339119476
0.3333333333333333,0.05,0.01,0.3806374813911895,0.0627467389757065
0.3333333333333333,0.05,0.01,0.5024875621890548,0.08996467650482386
0.3333333333333333,0.05,0.01,0.6243376429869201,0.17221852577693889
0.3333333333333333,0.05,0.01,0.7323965956517463,0.24348551426055276
0.3333333333333333,0.05,0.01,0.9528100764402322,0.3735969211755288
0.3333333333333333,0.025,0.01,0.27257852872636334,0.05185582269016895
0.3333333333333333,0.025,0.01,0.3806374813911895,0.06342791637174204
0.3333333333333333,0.025,0.01,0.5024875621890548,0.10303202378588384
0.3333333333333333,0.025,0.01,0.6243376429869201,0.3002089583244498
0.3333333333333333,0.025,0.01,0.7323965956517463,0.4337292148798086
0.3333333333333333,0.025,0.01,0.9528100764402322,0.7305690047071228
0.2,1.0,0.01,0.27257852872636334,0.02558699297381167
0.2,1.0,0.01,0.3806374813911895,0.025976460163644126
0.2,1.0,0.01,0.5024875621890548,0.02637984693828274
0.2,1.0,0.01,0.6243376429869201,0.026797367488213313
0.2,1.0,0.01,0.7323965956517463,0.027229139493972432
0.2,1.0,0.01,0.9528100764402322,0.02909687364967219
0.2,0.5,0.01,0.27257852872636334,0.030745970404299668
0.2,0.5,0.01,0.3806374813911895,0.031558064236880116
0.2,0.5,0.01,0.5024875621890548,0.03242560513099529
0.2,0.5,0.01,0.6243376429869201,0.033351302508795866
0.2,0.5,0.01,0.7323965956517463,0.03433719847440395
0.2,0.5,0.01,0.9528100764402322,0.038879653923552034
0.2,0.2,0.01,0.27257852872636334,0.040518505969603553
0.2,0.2,0.01,0.3806374813911895,0.04373342054698105
0.2,0.2,0.01,0.5024875621890548,0.04766359966217354
0.2,0.2,0.01,0.6243376429869201,0.05238454588510911
